any;mes;motiu;quantitat;tipo
2017;2;OMISIO;21;alta
2017;2;NEIXEMENT;104;alta
2017;2;CANVI RESIDENCIA;525;alta
2017;3;OMISIO;20;alta
2017;3;NEIXEMENT;101;alta
2017;3;CANVI RESIDENCIA;643;alta
2017;4;OMISIO;6;alta
2017;4;NEIXEMENT;106;alta
2017;4;CANVI RESIDENCIA;514;alta
2017;5;OMISIO;21;alta
2017;5;NEIXEMENT;86;alta
2017;5;CANVI RESIDENCIA;606;alta
2017;6;OMISIO;23;alta
2017;6;NEIXEMENT;88;alta
2017;6;CANVI RESIDENCIA;577;alta
2017;7;OMISIO;15;alta
2017;7;NEIXEMENT;92;alta
2017;7;CANVI RESIDENCIA;588;alta
2017;8;OMISIO;25;alta
2017;8;NEIXEMENT;120;alta
2017;8;CANVI RESIDENCIA;564;alta
2017;9;OMISIO;36;alta
2017;9;NEIXEMENT;91;alta
2017;9;CANVI RESIDENCIA;853;alta
2017;10;OMISIO;25;alta
2017;10;NEIXEMENT;110;alta
2017;10;CANVI RESIDENCIA;668;alta
2017;11;OMISIO;32;alta
2017;11;NEIXEMENT;95;alta
2017;11;CANVI RESIDENCIA;652;alta
2017;12;OMISIO;21;alta
2017;12;NEIXEMENT;98;alta
2017;12;CANVI RESIDENCIA;467;alta
2016;1;OMISIO;29;alta
2016;1;NEIXEMENT;110;alta
2016;1;CANVI RESIDENCIA;504;alta
2016;2;OMISIO;12;alta
2016;2;NEIXEMENT;96;alta
2016;2;CANVI RESIDENCIA;499;alta
2016;3;OMISIO;15;alta
2016;3;NEIXEMENT;121;alta
2016;3;CANVI RESIDENCIA;521;alta
2016;4;OMISIO;15;alta
2016;4;NEIXEMENT;92;alta
2016;4;CANVI RESIDENCIA;492;alta
2016;5;OMISIO;15;alta
2016;5;NEIXEMENT;82;alta
2016;5;CANVI RESIDENCIA;540;alta
2016;6;OMISIO;11;alta
2016;6;NEIXEMENT;107;alta
2016;6;CANVI RESIDENCIA;527;alta
2016;7;OMISIO;4;alta
2016;7;NEIXEMENT;112;alta
2016;7;CANVI RESIDENCIA;486;alta
2016;8;OMISIO;8;alta
2016;8;NEIXEMENT;112;alta
2016;8;CANVI RESIDENCIA;407;alta
2016;9;OMISIO;10;alta
2016;9;NEIXEMENT;122;alta
2016;9;CANVI RESIDENCIA;715;alta
2016;10;OMISIO;15;alta
2016;10;NEIXEMENT;91;alta
2016;10;CANVI RESIDENCIA;562;alta
2016;11;OMISIO;14;alta
2016;11;NEIXEMENT;101;alta
2016;11;CANVI RESIDENCIA;540;alta
2016;12;OMISIO;17;alta
2016;12;NEIXEMENT;107;alta
2016;12;CANVI RESIDENCIA;425;alta
2015;1;OMISIO;17;alta
2015;1;NEIXEMENT;133;alta
2015;1;CANVI RESIDENCIA;431;alta
2015;2;OMISIO;16;alta
2015;2;NEIXEMENT;78;alta
2015;2;CANVI RESIDENCIA;469;alta
2015;3;OMISIO;17;alta
2015;3;NEIXEMENT;108;alta
2015;3;CANVI RESIDENCIA;560;alta
2015;4;OMISIO;23;alta
2015;4;NEIXEMENT;95;alta
2015;4;CANVI RESIDENCIA;419;alta
2015;5;OMISIO;21;alta
2015;5;NEIXEMENT;106;alta
2015;5;CANVI RESIDENCIA;405;alta
2015;6;OMISIO;22;alta
2015;6;NEIXEMENT;107;alta
2015;6;CANVI RESIDENCIA;476;alta
2015;7;OMISIO;23;alta
2015;7;NEIXEMENT;119;alta
2015;7;CANVI RESIDENCIA;509;alta
2015;8;OMISIO;16;alta
2015;8;NEIXEMENT;109;alta
2015;8;CANVI RESIDENCIA;456;alta
2015;9;OMISIO;8;alta
2015;9;NEIXEMENT;111;alta
2015;9;CANVI RESIDENCIA;674;alta
2015;10;OMISIO;9;alta
2015;10;NEIXEMENT;120;alta
2015;10;CANVI RESIDENCIA;709;alta
2015;11;OMISIO;16;alta
2015;11;NEIXEMENT;96;alta
2015;11;CANVI RESIDENCIA;453;alta
2015;12;OMISIO;9;alta
2015;12;NEIXEMENT;128;alta
2015;12;CANVI RESIDENCIA;436;alta
2014;1;OMISIO;26;alta
2014;1;NEIXEMENT;120;alta
